"annee" "consoT" "prix"
1950 5.25 121
1951 5.36 108.4
1952 5.4 114.1
1953 5.37 113.9
1954 5.35 112.5
1955 5.6 116.1
1956 5.89 104.9
1957 6.1 116.1
1958 6.26 104.9
1959 5.95 116
1960 6.15 113.6
1961 6.25 111.5
1962 6.06 116.2
1963 6.07 117.8
1964 5.96 118.2
1965 6.13 115.1
1966 6.2 111.6
1967 6.39 108.3
1968 6.53 107.5
1969 6.55 105.1
1970 6.67 100
1971 6.7 94.9
1972 6.52 95.2
1973 6.61 94.3
1974 6.88 83.2
1975 7.08 75.5
1976 6.88 74.5
1977 6.96 73.3
1978 6.69 73.6
1979 6.75 72.6
1980 6.62 72.2
1981 6.44 73.3
1982 6.35 78.8
1983 6.31 78.5
1984 6.27 77.3
1985 6.43 72.1
1986 6.17 74.7
1987 6.07 76
1988 5.87 80.8
1989 5.86 81.3
1990 5.81 79.6
1991 5.79 78
1992 5.64 84.3
1993 5.44 98.3
1994 5.22 112.1
1995 5.07 119.6
1996 4.92 126.2
1997 4.71 134.6
1998 4.69 137.6
1999 4.62 143
2000 4.51 147.1
2001 4.5 152.1
2002 4.33 161.9
2003 3.8 181.3
2004 3.17 221.1
2005 3.12 218.4
2006 3.14 215.7
2007 3.06 218.1
2008 2.97 220.4
2009 3 223.2
2010 2.99 232
2011 2.95 240.3
2012 2.85 241.3
